global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc,date
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,59,pm25,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:01,2025-11-23
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,151,pm25,151.0,62.0,37.4,23.8,5.1,5.5,21.5,60.0,1021.0,5.1,13.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:02,2025-11-23
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,132,pm25,132.0,74.0,21.6,24.3,11.2,5.5,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:08,2025-11-23
801,114.0,2025-11-23 03:29:42,801,"Shuāngqiáo, Jiangmen (江门双桥)",https://aqicn.org/city/guangdong/jiangmen/shuangqiao,22.5862,112.5814,132,pm25,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,11.6,99.6,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:19,2025-11-23
805,87.0,2025-11-23 03:29:42,805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",https://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan,23.1617,112.565,87,pm25,87.0,36.0,26.4,15.1,8.2,5.5,23.5,34.0,1021.5,2.0,7.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:11,2025-11-23
822,137.0,2025-11-23 03:29:42,822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",https://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu,22.4886,113.434,117,pm25,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,13.5,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:33,2025-11-23
824,122.0,2025-11-23 03:29:42,824,"Zhangxi, Zhongshan (中山张溪)",https://aqicn.org/city/guangdong/zhongshan/zhangxi,22.5481,113.365,122,pm25,122.0,67.0,32.9,22.9,5.6,5.5,24.0,38.0,1021.0,3.6,9.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:54,2025-11-23
916,122.0,2025-11-23 03:29:42,916,"Kwai Chung, Shenzhen (宝安区 新安街道)",https://aqicn.org/city/shenzhen/xixiang,22.575856,113.862238,122,pm25,122.0,54.0,42.3,20.2,3.1,4.6,24.0,38.0,1021.0,3.6,9.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:18,2025-11-23
919,95.0,2025-11-23 03:29:42,919,"Pingshan, Shenzhen (坪山区 坪山街道)",https://aqicn.org/city/shenzhen/pingshan,22.690824,114.346126,95,pm25,95.0,49.0,31.3,9.6,6.6,6.4,22.7,70.0,1020.0,1.0,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:30,2025-11-23
921,97.0,2025-11-23 03:29:42,921,"Nan'aozhen, Shenzhen (大鹏新区 南澳街道)",https://aqicn.org/city/shenzhen/nanao,22.528186,114.496906,97,pm25,97.0,44.0,58.4,6.0,5.1,5.5,22.8,69.8,1019.8,1.0,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:13,2025-11-23
1302,97.0,2025-11-23 03:29:42,1302,"Gulangyu, Xiamen (厦门鼓浪屿)",https://aqicn.org/city/china/xiamen/gulangyu,24.445833333,118.06361111,97,pm25,97.0,50.0,30.1,14.2,3.6,4.6,23.0,53.0,1021.0,1.5,13.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:39,2025-11-23
1335,109.0,2025-11-23 03:29:42,1335,"Daziran Garden, Nanning (南宁大自然花园)",https://aqicn.org/city/china/nanning/daziranhuayuan,22.805,108.383,109,pm25,109.0,52.0,28.5,15.1,5.1,4.6,22.0,46.0,1023.0,1.5,10.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:26,2025-11-23
7206,,2025-11-23 03:29:42,1337,"District Agricultural Vocational College, Nanning (南宁区农职院)",https://aqicn.org/city/china/nanning/qunongzhiyuan,22.8464,108.239,107,pm25,107.0,50.0,28.1,10.1,13.2,7.3,22.0,46.0,1023.0,1.5,10.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:03,2025-11-23
1342,87.0,2025-11-23 03:29:42,1342,"Xiuying Hainan Hospital, Haikou (海口秀英海南医院)",https://aqicn.org/city/china/haikou/xiuyinghainanyiyuan,20.0053,110.283,87,pm25,87.0,49.0,49.2,7.4,5.1,3.7,24.0,60.0,1020.0,5.6,16.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:35,2025-11-23
1343,82.0,2025-11-23 03:29:42,1343,"Hainan Normal University, Haikou (海口海南师范大学)",https://aqicn.org/city/china/haikou/hainanshifandaxue,19.9969,110.338,82,pm25,82.0,46.0,53.2,7.4,4.6,4.6,24.0,60.0,1020.0,5.6,16.0,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:58:24,2025-11-23
1502,76.0,2025-11-23 03:29:42,1502,Quanzhou (泉州),https://aqicn.org/city/quanzhou,24.874699,118.675464,76,pm25,76.0,50.0,38.2,8.7,2.1,4.6,23.0,53.0,1021.0,1.5,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:06,2025-11-23
1539,122.0,2025-11-23 03:29:42,1539,Shenzhen (深圳),https://aqicn.org/city/shenzhen,22.543099,114.057868,122,pm25,122.0,57.0,46.3,20.2,5.1,7.3,24.0,70.0,1021.0,3.6,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:40,2025-11-23
1540,151.0,2025-11-23 03:29:42,1540,Zhuhai (珠海),https://aqicn.org/city/zhuhai,22.270715,113.576726,151,pm25,151.0,62.0,31.7,23.8,5.1,7.3,24.0,60.0,1021.0,5.1,,,,2025-11-23 11:00:00,+08:00,1763895600,2025-11-23 03:59:02,2025-11-23
