global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,68,pm25,68.0,17.0,39.4,3.7,4.6,4.6,19.0,59.0,1020.0,0.5,11.0,,,2025-11-24 07:00:00,+08:00,1763967600,2025-11-24 00:53:09
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,72,pm25,72.0,17.0,43.1,3.2,3.1,4.6,22.0,44.5,1021.0,0.5,9.5,,,2025-11-24 09:00:00,+08:00,1763974800,2025-11-24 02:48:49
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,61,pm25,61.0,17.0,45.1,2.8,3.1,4.6,25.5,31.0,1020.0,2.0,7.5,,,2025-11-24 11:00:00,+08:00,1763982000,2025-11-24 03:53:34
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,59,pm25,59.0,17.0,47.2,2.8,3.1,4.6,26.5,29.5,1019.0,2.0,7.5,,,2025-11-24 12:00:00,+08:00,1763985600,2025-11-24 05:14:07
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,59,pm25,59.0,17.0,48.4,2.3,3.1,4.6,27.0,33.0,1018.0,3.6,9.5,,,2025-11-24 13:00:00,+08:00,1763989200,2025-11-24 06:18:45
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,57,pm25,57.0,14.0,48.8,1.9,3.6,4.6,28.0,30.0,1017.0,2.0,9.0,,,2025-11-24 14:00:00,+08:00,1763992800,2025-11-24 07:13:22
781,68.0,2025-11-23 03:29:42,781,"Tianhu, Guangzhou (广州天湖)",https://aqicn.org/city/guangdong/guangzhou/tianhu,23.6502,113.6246,57,pm25,57.0,16.0,49.6,1.9,3.1,4.6,28.0,30.0,1017.0,2.0,9.0,,,2025-11-24 16:00:00,+08:00,1764000000,2025-11-24 09:16:13
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,112,pm25,112.0,54.0,5.3,30.7,6.1,5.5,21.0,73.0,1019.0,3.6,16.0,,,2025-11-24 08:00:00,+08:00,1763971200,2025-11-24 00:53:10
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,117,pm25,117.0,56.0,13.0,25.6,6.6,5.5,22.0,68.0,1020.0,3.6,16.0,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:48:48
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,124,pm25,124.0,57.0,27.7,22.9,6.6,5.5,23.0,62.0,1019.0,3.8,15.5,,,2025-11-24 11:00:00,+08:00,1763982000,2025-11-24 03:53:36
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,114,pm25,114.0,55.0,27.7,19.2,5.6,4.6,23.0,60.0,1019.0,4.1,15.0,,,2025-11-24 12:00:00,+08:00,1763985600,2025-11-24 04:31:15
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,109,pm25,109.0,53.0,60.4,14.7,5.1,4.6,24.0,60.0,1017.0,3.6,16.0,,,2025-11-24 13:00:00,+08:00,1763989200,2025-11-24 06:18:44
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,112,pm25,112.0,54.0,87.1,12.4,4.6,3.7,24.0,57.0,1016.5,4.6,15.0,,,2025-11-24 14:00:00,+08:00,1763992800,2025-11-24 07:13:20
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,119,pm25,119.0,54.0,87.1,12.8,4.6,3.7,23.0,60.0,1016.0,4.1,15.0,,,2025-11-24 15:00:00,+08:00,1763996400,2025-11-24 08:17:26
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,134,pm25,134.0,56.0,77.3,16.5,5.1,4.6,23.0,60.0,1016.0,4.1,15.0,,,2025-11-24 16:00:00,+08:00,1764000000,2025-11-24 09:16:13
784,151.0,2025-11-23 03:29:42,784,"Dòumén, Zhuhai (珠海斗门)",https://aqicn.org/city/guangdong/zhuhai/doumen,22.2281,113.299,124,pm25,124.0,55.0,77.3,15.1,4.6,3.7,23.0,60.0,1016.0,4.1,15.0,,,2025-11-24 17:00:00,+08:00,1764003600,2025-11-24 09:46:06
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,112,pm25,112.0,52.0,11.4,17.9,8.2,5.5,19.0,59.0,1020.0,0.5,11.0,,,2025-11-24 08:00:00,+08:00,1763971200,2025-11-24 00:53:17
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,122,pm25,122.0,66.0,24.0,16.5,10.2,4.6,24.5,33.0,1021.0,2.5,7.5,,,2025-11-24 10:00:00,+08:00,1763978400,2025-11-24 02:48:58
793,132.0,2025-11-23 03:29:42,793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",https://aqicn.org/city/guangdong/fushan/gaomingkongtang,22.8693,112.844,114,pm25,114.0,62.0,33.8,12.8,7.6,3.7,25.5,31.0,1020.0,2.0,7.5,,,2025-11-24 11:00:00,+08:00,1763982000,2025-11-24 03:53:45
