lat,lon,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,date
23.6502,113.6246,59,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
22.2281,113.299,151,151.0,62.0,37.4,23.8,5.1,5.5,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
22.8693,112.844,132,132.0,74.0,21.6,24.3,11.2,5.5,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
22.5862,112.5814,132,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,11.6,99.6,2025-11-23
23.1617,112.565,87,87.0,36.0,26.4,15.1,8.2,5.5,23.5,34.0,1021.5,2.0,7.0,,2025-11-23
22.4886,113.434,117,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,13.5,,2025-11-23
22.5481,113.365,122,122.0,67.0,32.9,22.9,5.6,5.5,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
22.575856,113.862238,122,122.0,54.0,42.3,20.2,3.1,4.6,24.0,38.0,1021.0,3.6,9.0,,2025-11-23
22.690824,114.346126,95,95.0,49.0,31.3,9.6,6.6,6.4,22.7,70.0,1020.0,1.0,,,2025-11-23
22.528186,114.496906,97,97.0,44.0,58.4,6.0,5.1,5.5,22.8,69.8,1019.8,1.0,,,2025-11-23
24.445833333,118.06361111,97,97.0,50.0,30.1,14.2,3.6,4.6,23.0,53.0,1021.0,1.5,13.0,,2025-11-23
22.805,108.383,109,109.0,52.0,28.5,15.1,5.1,4.6,22.0,46.0,1023.0,1.5,10.0,,2025-11-23
22.8464,108.239,107,107.0,50.0,28.1,10.1,13.2,7.3,22.0,46.0,1023.0,1.5,10.0,,2025-11-23
20.0053,110.283,87,87.0,49.0,49.2,7.4,5.1,3.7,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
19.9969,110.338,82,82.0,46.0,53.2,7.4,4.6,4.6,24.0,60.0,1020.0,5.6,16.0,,2025-11-23
24.874699,118.675464,76,76.0,50.0,38.2,8.7,2.1,4.6,23.0,53.0,1021.0,1.5,,,2025-11-23
22.543099,114.057868,122,122.0,57.0,46.3,20.2,5.1,7.3,24.0,70.0,1021.0,3.6,,,2025-11-23
22.270715,113.576726,151,151.0,62.0,31.7,23.8,5.1,7.3,24.0,60.0,1021.0,5.1,,,2025-11-23
23.020536,113.751765,104,104.0,45.0,30.9,14.7,8.2,6.4,22.0,40.0,1022.0,4.6,,,2025-11-23
24.352036,102.546543,114,114.0,48.0,7.4,14.2,2.1,11.8,11.0,71.0,1028.0,5.6,,99.2,2025-11-23
21.0491,105.8831,159,159.0,95.0,,1.0,15.0,6.0,23.0,56.0,1022.0,2.0,14.0,,2025-11-23
24.863869,121.21635,53,53.0,22.0,30.5,6.2,1.2,3.0,21.5,75.0,1020.0,2.0,20.0,,2025-11-23
24.805619,120.972075,55,55.0,26.0,35.4,7.0,2.3,2.8,23.3,73.0,1020.0,0.8,20.0,,2025-11-23
24.565269,120.8202,61,61.0,19.0,28.0,5.9,2.6,2.4,24.2,67.0,1020.0,1.9,19.0,,2025-11-23
24.151958,120.641092,50,50.0,18.0,27.1,6.9,2.8,2.7,25.5,57.0,1020.0,1.1,19.0,,2025-11-23
24.131672,120.469061,59,59.0,40.0,32.5,6.7,4.2,3.0,23.8,69.0,1020.0,4.0,19.0,,2025-11-23
23.925175,120.409653,50,50.0,22.0,34.9,3.1,2.8,2.5,24.1,73.0,1020.0,3.4,19.0,,2025-11-23
23.554839,120.345531,68,68.0,29.0,30.7,6.8,3.5,2.5,23.5,64.0,1020.0,2.0,18.5,,2025-11-23
23.462778,120.440833,76,76.0,30.0,33.1,7.4,4.2,3.3,25.5,56.0,1020.0,0.5,18.5,,2025-11-23
23.305633,120.31725,70,70.0,40.0,29.2,9.5,2.3,3.3,23.1,65.0,1020.0,2.0,18.5,,2025-11-23
22.883583,120.530542,53,53.0,20.0,35.1,2.5,1.6,2.6,27.5,57.5,1020.0,0.5,18.5,,2025-11-23
22.4795,120.41175,122,122.0,71.0,77.6,6.0,9.2,8.2,26.0,69.0,1018.5,1.5,18.0,,2025-11-23
22.674861,120.292917,114,114.0,60.0,42.9,16.6,3.9,5.8,25.3,68.0,1018.5,0.8,18.0,,2025-11-23
22.673081,120.488033,61,61.0,33.0,43.4,4.8,1.8,3.0,27.8,68.0,1018.5,0.8,18.0,,2025-11-23
21.958069,120.788928,32,30.0,15.0,31.6,0.6,0.9,1.4,26.0,66.0,1018.0,4.3,19.0,,2025-11-23
22.755358,121.15045,38,38.0,17.0,29.0,3.0,1.8,1.7,26.7,59.0,1019.7,1.7,19.0,,2025-11-23
23.971306,121.599769,20,17.0,10.0,20.0,3.3,1.6,2.6,24.6,66.0,1020.8,2.5,,,2025-11-23
24.747917,121.746394,28,25.0,11.0,28.1,2.1,1.3,2.2,24.7,76.0,1020.8,1.3,20.0,,2025-11-23
23.756389,120.677306,42,42.0,14.0,35.4,3.8,2.0,1.8,31.1,33.0,987.9,0.2,,,2025-11-23
23.968842,120.967903,38,38.0,10.0,28.1,5.8,1.5,3.2,16.2,94.0,987.9,0.2,,,2025-11-23
24.432133,118.312256,76,76.0,38.0,43.4,10.8,3.9,3.6,19.9,61.0,1021.0,5.8,12.0,,2025-11-23
23.045083,121.161933,23,17.0,7.0,23.3,1.7,1.0,1.4,24.1,62.0,1019.5,1.4,19.0,,2025-11-23
1.296183,103.846181,25,25.0,17.0,3.0,,2.0,4.0,32.0,62.0,1010.0,1.5,24.0,,2025-11-23
1.3645924,103.9477547,61,61.0,20.0,4.0,,3.0,5.0,30.0,70.0,1010.0,2.5,24.0,,2025-11-23
13.7054879,100.315622,105,105.0,51.0,17.0,3.5,1.6,0.1,26.3,11.2,1014.8,1.0,-6.3,99.1,2025-11-23
13.907861,100.535641,106,106.0,55.0,6.4,13.9,0.6,0.1,25.0,61.0,1015.0,6.6,17.0,,2025-11-23
12.73518333,101.13565,65,65.0,42.0,8.7,8.7,1.1,0.1,26.3,11.5,1009.2,4.1,-6.0,0.2,2025-11-23
18.7909333,98.99,40,40.0,82.0,14.6,7.5,0.6,,22.1,13.0,982.0,1.5,-7.6,1.9,2025-11-23
18.2783333,99.5064666,65,65.0,75.0,11.5,1.8,0.6,0.1,19.6,14.2,988.6,0.5,-8.5,0.7,2025-11-23
15.68623,100.110556,65,65.0,70.0,14.2,5.8,0.6,0.1,26.1,10.2,1013.7,0.5,-7.7,0.1,2025-11-23
9.126017,99.325145,51,51.0,48.0,4.4,,0.6,0.1,26.4,49.3,1013.9,2.0,,,2025-11-23
7.884488,98.391283,52,52.0,25.0,,3.5,0.6,,26.5,83.0,1012.0,1.2,23.5,,2025-11-23
19.909217,99.823467,52,52.0,19.0,12.7,0.6,,0.1,20.5,87.6,986.0,0.3,,,2025-11-23
19.30455,97.97165,9,9.0,5.0,4.8,3.5,,0.1,21.1,83.5,987.9,1.5,18.2,0.3,2025-11-23
18.1283666,100.1624333,62,62.0,68.0,6.7,8.7,0.6,0.1,21.5,17.5,999.7,1.0,-4.2,99.3,2025-11-23
19.200226,99.893048,56,56.0,77.0,13.1,6.4,,0.1,20.1,13.5,972.9,2.0,-8.7,0.3,2025-11-23
20.439944444444,99.913666666667,70,70.0,149.0,,,0.6,,21.1,13.3,975.2,0.5,-8.1,0.2,2025-11-23
13.664087,100.543436,93,93.0,44.0,6.4,15.0,2.7,0.1,26.7,11.7,1013.7,1.0,-5.4,99.0,2025-11-23
13.599149,100.597345,105,105.0,55.0,13.4,9.3,0.6,0.1,26.7,11.7,1013.7,1.0,-5.4,99.0,2025-11-23
13.35461667,100.9792167,105,105.0,33.0,6.0,9.3,1.1,,28.9,74.9,1011.5,4.1,24.0,0.3,2025-11-23
7.020434,100.484088,50,50.0,29.0,,,,,25.0,94.0,1010.0,3.6,24.0,,2025-11-23
13.5885,101.2863333,76,76.0,56.0,0.8,8.1,1.6,,26.6,54.9,1007.9,0.5,16.8,0.1,2025-11-23
18.7888833,100.7763166,59,59.0,67.0,6.4,0.6,0.6,0.1,19.1,95.6,995.9,0.5,16.0,0.8,2025-11-23
18.567194,99.038639,71,71.0,82.0,14.6,7.5,0.6,,20.5,98.1,982.7,0.5,17.7,0.3,2025-11-23
17.4525229,101.7272395,77,77.0,33.0,,0.6,,,23.8,64.9,987.7,1.5,16.8,99.6,2025-11-23
24.8035377,125.2879675,53,53.0,16.0,35.2,1.0,,,25.0,65.0,1020.0,5.1,18.0,,2025-11-23
22.4509766,114.1641396,92,92.0,44.0,36.6,18.5,4.4,,22.5,53.2,1019.5,2.0,12.5,,2025-11-23
22.288916,113.9435389,86,86.0,42.0,34.7,14.6,1.0,7.0,23.0,49.0,1021.0,1.5,12.0,,2025-11-23
22.2796569,114.1719873,93,93.0,46.0,26.6,34.8,2.8,5.4,22.5,53.2,1019.5,2.0,12.5,,2025-11-23
