station_idx,station_name,lat,lon,station_time,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,aqi_next1h,aqi_lag1,aqi_lag3,pm25_lag1,pm10_lag1,t_lag1,h_lag1
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 11:00:00,59,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,59.0,59.0,,59.0,16.0,23.5,34.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 11:00:00,59,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,59.0,59.0,,59.0,16.0,23.5,34.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 11:00:00,59,59.0,16.0,41.9,3.2,3.1,4.6,23.5,34.0,1021.5,2.0,57.0,59.0,59.0,59.0,16.0,23.5,34.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 12:00:00,57,57.0,16.0,42.3,3.2,2.6,4.6,24.0,35.0,1021.0,1.5,57.0,59.0,59.0,59.0,16.0,23.5,34.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 12:00:00,57,57.0,16.0,42.3,3.2,2.6,4.6,24.0,35.0,1021.0,1.5,55.0,57.0,59.0,57.0,16.0,24.0,35.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 11:00:00,151,151.0,62.0,37.4,23.8,5.1,5.5,21.5,60.0,1021.0,5.1,127.0,151.0,,151.0,62.0,21.5,60.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 12:00:00,127,127.0,57.0,37.4,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,127.0,151.0,,151.0,62.0,21.5,60.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 12:00:00,127,127.0,57.0,37.4,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,127.0,127.0,151.0,127.0,57.0,22.0,56.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 12:00:00,127,127.0,57.0,50.6,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,127.0,127.0,151.0,127.0,57.0,22.0,56.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 12:00:00,127,127.0,57.0,50.6,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,95.0,127.0,127.0,127.0,57.0,22.0,56.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 11:00:00,132,132.0,74.0,21.6,24.3,11.2,5.5,23.5,34.0,1021.5,2.0,107.0,132.0,,132.0,74.0,23.5,34.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 12:00:00,107,107.0,67.0,21.6,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,107.0,132.0,,132.0,74.0,23.5,34.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 12:00:00,107,107.0,67.0,21.6,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,107.0,107.0,132.0,107.0,67.0,24.0,35.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 12:00:00,107,107.0,67.0,37.4,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,107.0,107.0,132.0,107.0,67.0,24.0,35.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 12:00:00,107,107.0,67.0,37.4,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,104.0,107.0,107.0,107.0,67.0,24.0,35.0
801,"Shuāngqiáo, Jiangmen (江门双桥)",22.5862,112.5814,2025-11-23 11:00:00,132,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,132.0,132.0,,132.0,60.0,20.2,57.7
801,"Shuāngqiáo, Jiangmen (江门双桥)",22.5862,112.5814,2025-11-23 11:00:00,132,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,132.0,132.0,,132.0,60.0,20.2,57.7
801,"Shuāngqiáo, Jiangmen (江门双桥)",22.5862,112.5814,2025-11-23 11:00:00,132,132.0,60.0,30.5,10.6,6.6,4.6,20.2,57.7,1015.5,1.0,127.0,132.0,132.0,132.0,60.0,20.2,57.7
801,"Shuāngqiáo, Jiangmen (江门双桥)",22.5862,112.5814,2025-11-23 12:00:00,127,127.0,53.0,41.9,7.4,5.1,3.7,20.2,57.7,1015.5,1.0,127.0,132.0,132.0,132.0,60.0,20.2,57.7
801,"Shuāngqiáo, Jiangmen (江门双桥)",22.5862,112.5814,2025-11-23 12:00:00,127,127.0,53.0,41.9,7.4,5.1,3.7,20.2,57.7,1015.5,1.0,107.0,127.0,132.0,127.0,53.0,20.2,57.7
805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",23.1617,112.565,2025-11-23 11:00:00,87,87.0,36.0,26.4,15.1,8.2,5.5,23.5,34.0,1021.5,2.0,95.0,87.0,,87.0,36.0,23.5,34.0
805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",23.1617,112.565,2025-11-23 12:00:00,95,95.0,40.0,26.4,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,95.0,87.0,,87.0,36.0,23.5,34.0
805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",23.1617,112.565,2025-11-23 12:00:00,95,95.0,40.0,26.4,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,95.0,95.0,87.0,95.0,40.0,24.0,35.0
805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",23.1617,112.565,2025-11-23 12:00:00,95,95.0,40.0,31.7,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,95.0,95.0,87.0,95.0,40.0,24.0,35.0
805,"Kengkouzi station, Zhaoqing (肇庆坑口子站)",23.1617,112.565,2025-11-23 12:00:00,95,95.0,40.0,31.7,14.7,7.6,4.6,24.0,35.0,1021.0,1.5,80.0,95.0,95.0,95.0,40.0,24.0,35.0
812,"Henan'an, Huizhou (惠州河南岸)",23.0528,114.4183,2025-11-23 12:00:00,95,95.0,43.0,,10.1,4.1,4.6,23.4,50.0,1019.6,1.0,95.0,95.0,,95.0,43.0,23.4,50.0
812,"Henan'an, Huizhou (惠州河南岸)",23.0528,114.4183,2025-11-23 12:00:00,95,95.0,43.0,,10.1,4.1,4.6,23.4,50.0,1019.6,1.0,95.0,95.0,,95.0,43.0,23.4,50.0
822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",22.4886,113.434,2025-11-23 11:00:00,117,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,117.0,117.0,,117.0,50.0,21.5,60.0
822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",22.4886,113.434,2025-11-23 11:00:00,117,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,117.0,117.0,,117.0,50.0,21.5,60.0
822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",22.4886,113.434,2025-11-23 11:00:00,117,117.0,50.0,37.8,20.2,5.6,7.3,21.5,60.0,1021.0,5.1,109.0,117.0,117.0,117.0,50.0,21.5,60.0
822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",22.4886,113.434,2025-11-23 12:00:00,109,109.0,51.0,55.2,16.5,5.6,6.4,22.0,56.0,1020.0,4.6,109.0,117.0,117.0,117.0,50.0,21.5,60.0
822,"Yangtze River tourist area, Zhongshan (中山长江旅游区)",22.4886,113.434,2025-11-23 12:00:00,109,109.0,51.0,55.2,16.5,5.6,6.4,22.0,56.0,1020.0,4.6,117.0,109.0,117.0,109.0,51.0,22.0,56.0
824,"Zhangxi, Zhongshan (中山张溪)",22.5481,113.365,2025-11-23 11:00:00,122,122.0,67.0,32.9,22.9,5.6,5.5,24.0,38.0,1021.0,3.6,132.0,122.0,,122.0,67.0,24.0,38.0
824,"Zhangxi, Zhongshan (中山张溪)",22.5481,113.365,2025-11-23 12:00:00,132,132.0,62.0,32.9,20.6,6.1,5.5,25.0,33.0,1020.0,2.5,132.0,122.0,,122.0,67.0,24.0,38.0
824,"Zhangxi, Zhongshan (中山张溪)",22.5481,113.365,2025-11-23 12:00:00,132,132.0,62.0,32.9,20.6,6.1,5.5,25.0,33.0,1020.0,2.5,132.0,132.0,122.0,132.0,62.0,25.0,33.0
824,"Zhangxi, Zhongshan (中山张溪)",22.5481,113.365,2025-11-23 12:00:00,132,132.0,62.0,48.4,20.6,6.1,5.5,25.0,33.0,1020.0,2.5,132.0,132.0,122.0,132.0,62.0,25.0,33.0
824,"Zhangxi, Zhongshan (中山张溪)",22.5481,113.365,2025-11-23 12:00:00,132,132.0,62.0,48.4,20.6,6.1,5.5,25.0,33.0,1020.0,2.5,107.0,132.0,132.0,132.0,62.0,25.0,33.0
916,"Kwai Chung, Shenzhen (宝安区 新安街道)",22.575856,113.862238,2025-11-23 11:00:00,122,122.0,54.0,42.3,20.2,3.1,4.6,24.0,38.0,1021.0,3.6,107.0,122.0,,122.0,54.0,24.0,38.0
916,"Kwai Chung, Shenzhen (宝安区 新安街道)",22.575856,113.862238,2025-11-23 12:00:00,107,107.0,50.0,42.3,14.2,3.1,4.6,25.0,33.0,1020.0,2.5,107.0,122.0,,122.0,54.0,24.0,38.0
916,"Kwai Chung, Shenzhen (宝安区 新安街道)",22.575856,113.862238,2025-11-23 12:00:00,107,107.0,50.0,42.3,14.2,3.1,4.6,25.0,33.0,1020.0,2.5,107.0,107.0,122.0,107.0,50.0,25.0,33.0
