station_idx,station_name,lat,lon,station_time,aqi,pm25,pm10,o3,no2,so2,co,t,h,p,w,aqi_next1h,aqi_lag1,aqi_lag3,pm25_lag1,pm10_lag1,t_lag1,h_lag1
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 12:00:00,57,57.0,16.0,42.3,3.2,2.6,4.6,24.0,35.0,1021.0,1.5,55.0,59.0,,59.0,16.0,23.5,34.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 13:00:00,55,55.0,17.0,44.7,3.7,2.6,4.6,26.0,29.0,1019.0,1.5,55.0,57.0,,57.0,16.0,24.0,35.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 14:00:00,55,55.0,14.0,48.4,2.8,2.6,4.6,26.0,29.0,1018.0,2.5,57.0,55.0,59.0,55.0,17.0,26.0,29.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 15:00:00,57,57.0,19.0,52.6,3.2,2.6,4.6,27.0,30.0,1018.0,2.5,61.0,55.0,57.0,55.0,14.0,26.0,29.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 17:00:00,61,61.0,18.0,52.6,3.2,4.1,5.5,24.0,35.0,1018.0,2.5,68.0,57.0,55.0,57.0,19.0,27.0,30.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-23 23:00:00,68,68.0,20.0,44.3,3.2,7.1,5.5,21.0,52.0,1019.0,0.5,89.0,61.0,55.0,61.0,18.0,24.0,35.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 01:00:00,89,89.0,20.0,41.1,4.6,12.2,7.3,20.0,56.0,1019.0,0.5,80.0,68.0,57.0,68.0,20.0,21.0,52.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 02:00:00,80,80.0,20.0,37.8,4.6,8.7,6.4,19.0,55.0,1018.0,0.5,65.0,89.0,61.0,89.0,20.0,20.0,56.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 04:00:00,65,65.0,20.0,36.2,3.7,4.6,5.5,19.0,57.0,1018.0,0.5,68.0,80.0,68.0,80.0,20.0,19.0,55.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 07:00:00,68,68.0,17.0,39.4,3.7,4.6,4.6,19.0,59.0,1020.0,0.5,72.0,65.0,89.0,65.0,20.0,19.0,57.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 09:00:00,72,72.0,17.0,43.1,3.2,3.1,4.6,22.0,44.5,1021.0,0.5,61.0,68.0,80.0,68.0,17.0,19.0,59.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 11:00:00,61,61.0,17.0,45.1,2.8,3.1,4.6,25.5,31.0,1020.0,2.0,59.0,72.0,65.0,72.0,17.0,22.0,44.5
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 12:00:00,59,59.0,17.0,47.2,2.8,3.1,4.6,26.5,29.5,1019.0,2.0,59.0,61.0,68.0,61.0,17.0,25.5,31.0
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 13:00:00,59,59.0,17.0,48.4,2.3,3.1,4.6,27.0,33.0,1018.0,3.6,57.0,59.0,72.0,59.0,17.0,26.5,29.5
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246,2025-11-24 14:00:00,57,57.0,14.0,48.8,1.9,3.6,4.6,28.0,30.0,1017.0,2.0,57.0,59.0,61.0,59.0,17.0,27.0,33.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 12:00:00,127,127.0,57.0,37.4,17.0,4.6,4.6,22.0,56.0,1020.0,4.6,95.0,151.0,,151.0,62.0,21.5,60.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 14:00:00,95,95.0,52.0,63.0,11.0,4.1,3.7,23.0,56.0,1018.0,4.1,97.0,127.0,,127.0,57.0,22.0,56.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 15:00:00,97,97.0,52.0,75.3,11.0,4.1,3.7,24.0,50.0,1017.0,3.6,134.0,95.0,151.0,95.0,52.0,23.0,56.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-23 18:00:00,134,134.0,58.0,76.0,16.0,4.1,3.7,22.0,64.0,1017.0,3.0,129.0,97.0,127.0,97.0,52.0,24.0,50.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 00:00:00,129,129.0,58.0,34.6,17.0,4.6,4.6,22.0,68.0,1018.0,2.5,147.0,134.0,95.0,134.0,58.0,22.0,64.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 01:00:00,147,147.0,60.0,25.2,19.7,4.1,4.6,21.5,85.5,1018.0,2.5,153.0,129.0,97.0,129.0,58.0,22.0,68.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 02:00:00,153,153.0,62.0,25.2,20.6,3.6,4.6,21.5,85.5,1018.0,2.5,154.0,147.0,134.0,147.0,60.0,21.5,85.5
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 03:00:00,154,154.0,63.0,20.8,21.1,4.1,4.6,20.0,93.0,1017.0,2.0,152.0,153.0,129.0,153.0,62.0,21.5,85.5
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 04:00:00,152,152.0,62.0,10.6,29.3,5.1,5.5,20.0,88.0,1017.0,2.0,149.0,154.0,147.0,154.0,63.0,20.0,93.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 05:00:00,149,149.0,60.0,10.6,36.2,5.1,5.5,20.0,77.0,1017.0,1.5,112.0,152.0,153.0,152.0,62.0,20.0,88.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 08:00:00,112,112.0,54.0,5.3,30.7,6.1,5.5,21.0,73.0,1019.0,3.6,117.0,149.0,154.0,149.0,60.0,20.0,77.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 10:00:00,117,117.0,56.0,13.0,25.6,6.6,5.5,22.0,68.0,1020.0,3.6,124.0,112.0,152.0,112.0,54.0,21.0,73.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 11:00:00,124,124.0,57.0,27.7,22.9,6.6,5.5,23.0,62.0,1019.0,3.8,114.0,117.0,149.0,117.0,56.0,22.0,68.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 12:00:00,114,114.0,55.0,27.7,19.2,5.6,4.6,23.0,60.0,1019.0,4.1,109.0,124.0,112.0,124.0,57.0,23.0,62.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 13:00:00,109,109.0,53.0,60.4,14.7,5.1,4.6,24.0,60.0,1017.0,3.6,112.0,114.0,117.0,114.0,55.0,23.0,60.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 14:00:00,112,112.0,54.0,87.1,12.4,4.6,3.7,24.0,57.0,1016.5,4.6,119.0,109.0,124.0,109.0,53.0,24.0,60.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 15:00:00,119,119.0,54.0,87.1,12.8,4.6,3.7,23.0,60.0,1016.0,4.1,134.0,112.0,114.0,112.0,54.0,24.0,57.0
784,"Dòumén, Zhuhai (珠海斗门)",22.2281,113.299,2025-11-24 16:00:00,134,134.0,56.0,77.3,16.5,5.1,4.6,23.0,60.0,1016.0,4.1,124.0,119.0,109.0,119.0,54.0,23.0,60.0
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844,2025-11-23 12:00:00,107,107.0,67.0,21.6,13.3,7.6,3.7,24.0,35.0,1021.0,1.5,104.0,132.0,,132.0,74.0,23.5,34.0
