uid,lat,lon,aqi,tile_lat1,tile_lon1,tile_lat2,tile_lon2,snapshot_utc
4981,-53.158295492238,-70.921497482453,,-60,-80,-40,-60,2025-11-23 03:29:42
428,-40.584478665958,-73.11871982209,21.0,-60,-80,-40,-60,2025-11-23 03:29:42
8821,-41.4795069236,-72.968755930145,13.0,-60,-80,-40,-60,2025-11-23 03:29:42
14756,-41.328935085299,-72.968208759506,57.0,-60,-80,-40,-60,2025-11-23 03:29:42
10698,-40.286857441758,-73.076710459412,55.0,-60,-80,-40,-60,2025-11-23 03:29:42
5141,-45.579045667164,-72.049964505825,76.0,-60,-80,-40,-60,2025-11-23 03:29:42
10699,-45.40680023471,-72.696259617805,13.0,-60,-80,-40,-60,2025-11-23 03:29:42
3287,-41.111,146.836,5.0,-60,140,-40,160,2025-11-23 03:29:42
10724,-42.081,145.553,1.0,-60,140,-40,160,2025-11-23 03:29:42
9083,-42.509,147.913,4.0,-60,140,-40,160,2025-11-23 03:29:42
9082,-42.3,147.372,5.0,-60,140,-40,160,2025-11-23 03:29:42
3294,-41.32,148.25,2.0,-60,140,-40,160,2025-11-23 03:29:42
3280,-41.159,146.146,9.0,-60,140,-40,160,2025-11-23 03:29:42
3290,-41.465,147.148,5.0,-60,140,-40,160,2025-11-23 03:29:42
3291,-41.25,147.217,54.0,-60,140,-40,160,2025-11-23 03:29:42
10725,-41.238,146.42,4.0,-60,140,-40,160,2025-11-23 03:29:42
8298,-42.819,147.817,5.0,-60,140,-40,160,2025-11-23 03:29:42
3297,-42.684,146.936,5.0,-60,140,-40,160,2025-11-23 03:29:42
3299,-42.855,147.315,5.0,-60,140,-40,160,2025-11-23 03:29:42
3282,-41.523,146.658,7.0,-60,140,-40,160,2025-11-23 03:29:42
3281,-41.43,146.338,5.0,-60,140,-40,160,2025-11-23 03:29:42
3278,-40.992,145.718,13.0,-60,140,-40,160,2025-11-23 03:29:42
3279,-41.108,145.883,9.0,-60,140,-40,160,2025-11-23 03:29:42
3302,-43.17,146.925,9.0,-60,140,-40,160,2025-11-23 03:29:42
8753,-42.861,147.404,16.0,-60,140,-40,160,2025-11-23 03:29:42
3285,-41.595,147.122,7.0,-60,140,-40,160,2025-11-23 03:29:42
3296,-41.928,147.491,7.0,-60,140,-40,160,2025-11-23 03:29:42
3277,-40.85,145.133,5.0,-60,140,-40,160,2025-11-23 03:29:42
3301,-43.03,147.05,9.0,-60,140,-40,160,2025-11-23 03:29:42
3295,-41.638,147.967,2.0,-60,140,-40,160,2025-11-23 03:29:42
3292,-41.162,147.515,5.0,-60,140,-40,160,2025-11-23 03:29:42
3288,-41.303,146.951,2.0,-60,140,-40,160,2025-11-23 03:29:42
11979,-46.10620888899,168.9396792352,24.0,-60,160,-40,180,2025-11-23 03:29:42
9100,-44.0911852,171.2437353,32.0,-60,160,-40,180,2025-11-23 03:29:42
9103,-44.7332907,171.0509586,23.0,-60,160,-40,180,2025-11-23 03:29:42
11969,-41.52663988,173.95608203,12.0,-60,160,-40,180,2025-11-23 03:29:42
11970,-41.29511685,173.2423759,87.0,-60,160,-40,180,2025-11-23 03:29:42
11980,-46.431928390214,168.36991681188,20.0,-60,160,-40,180,2025-11-23 03:29:42
9097,-43.3830321,172.6569578,21.0,-60,160,-40,180,2025-11-23 03:29:42
