global_uid,global_aqi_snapshot,global_snapshot_utc,station_idx,station_name,station_url,lat,lon,aqi,dominentpol,pm25,pm10,o3,no2,so2,co,t,h,p,w,dew,rain,uv,station_time,station_tz,station_unix,ingested_at_utc
13647,59.0,2025-11-24 20:43:16,13647,"Malang, Indonesia",https://aqicn.org/city/indonesia/malang,-7.9551897,112.6119383,103,pm25,103.0,,,,,,26.1,95.4,1008.9,1.0,25.3,2.0,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:28
10490,45.0,2025-11-24 20:43:16,10490,"Pangkalanbun, Indonesia",https://aqicn.org/city/indonesia/pangkalanbun,-2.676583,111.626448,52,pm25,52.0,,,,,,25.0,98.2,1005.0,2.5,24.7,4.6,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:28
13651,89.0,2025-11-24 20:43:16,13651,"Semarang, Indonesia",https://aqicn.org/city/indonesia/semarang,-6.985,110.381,81,pm25,81.0,,,,,,27.2,84.2,1008.6,1.5,24.3,0.8,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:29
13841,31.0,2025-11-24 20:43:16,13841,"Maros, Indonesia",https://aqicn.org/city/indonesia/maros,-4.997,119.57,60,pm25,60.0,,,,,,24.0,97.0,1009.0,0.7,23.5,,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:29
13655,56.0,2025-11-24 20:43:16,13655,"Supadio, Indonesia",https://aqicn.org/city/indonesia/supadio,-0.14,109.45,29,pm25,29.0,,,,,,25.0,100.0,1008.5,0.5,25.0,,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:30
14903,79.0,2025-11-24 20:43:16,14903,"Talang Betutu Palembang, Indonesia",https://aqicn.org/city/indonesia/talang-betutu-palembang,-2.94,104.7,56,pm25,56.0,,,,,,25.5,97.6,1008.0,1.0,25.1,1.7,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:31
13644,59.0,2025-11-24 20:43:16,13644,"Bengkulu, Indonesia",https://aqicn.org/city/indonesia/bengkulu,-3.865,102.312,99,pm25,99.0,,,,,,25.5,92.0,1006.7,1.0,24.1,99.2,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:31
11755,,2025-11-24 20:43:16,11755,"Kototabang, Indonesia",https://aqicn.org/city/indonesia/kototabang,-0.251,100.382,27,pm25,27.0,,,,,,24.5,94.2,1008.6,0.5,23.5,1.9,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:32
13653,67.0,2025-11-24 20:43:16,13653,"Sleman, Indonesia",https://aqicn.org/city/indonesia/sleman,-7.731,110.354,61,pm25,61.0,,,,,,27.2,84.2,1008.6,1.5,24.3,0.8,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:32
13650,19.0,2025-11-24 20:43:16,8294,"Kemayoran, Indonesia",https://aqicn.org/city/indonesia/kemayoran,-6.155,106.846,64,pm25,64.0,,,,,,29.0,79.0,1010.0,1.5,25.0,,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:33
8289,85.0,2025-11-24 20:43:16,8289,"Jambi, Indonesia",https://aqicn.org/city/indonesia/jambi,-1.6318964,103.6414547,73,pm25,73.0,,,,,,25.2,93.6,1006.7,1.5,24.1,0.9,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:33
8342,27.0,2025-11-24 20:43:16,8342,"Palangka Raya, Indonesia",https://aqicn.org/city/indonesia/palangkaraya,-2.22611,113.945,7,pm25,7.0,,,,,,,,,,,,,2026-04-30 01:00:00,+07:00,1777510800,2026-04-29 20:49:33
8294,25.0,2025-11-24 20:43:16,8294,"Kemayoran, Indonesia",https://aqicn.org/city/indonesia/kemayoran,-6.155,106.846,61,pm25,61.0,,,,,,29.0,79.0,1010.0,1.5,25.0,,,2026-04-30 03:00:00,+07:00,1777518000,2026-04-29 20:49:34
8292,14.0,2025-11-24 20:43:16,8292,"Banjarbaru, Indonesia",https://aqicn.org/city/indonesia/banjarbaru,-3.475,114.856,32,pm25,32.0,,,,,,25.5,100.0,1008.0,2.5,25.5,,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:34
8293,90.0,2025-11-24 20:43:16,8293,"Samarinda, Indonesia",https://aqicn.org/city/indonesia/samarinda,-0.4825,117.1563,40,pm25,40.0,,,,,,27.0,88.0,1008.0,2.0,25.0,,,2026-04-30 02:00:00,+07:00,1777514400,2026-04-29 20:49:35
1868,79.0,2025-11-24 20:43:16,1868,"Provincial Administrative Stadium, Lamphun, Thailand (สนามกีฬาองค์การบริหารส่วนจังหวัดลำพูน)",https://aqicn.org/city/thailand/lamphun/provincial-administrative-stadium,18.567194,99.038639,121,pm25,121.0,43.0,14.6,7.5,0.6,,25.0,78.0,1010.0,0.5,21.0,,,2026-04-30 04:00:00,+07:00,1777521600,2026-04-29 20:49:35
13654,,2025-11-24 20:43:16,13654,"Sorong, Indonesia",https://aqicn.org/city/indonesia/sorong,-0.8634105,131.2544805,1,pm25,1.0,,,,,,25.1,97.6,1008.9,1.0,24.7,0.9,,2026-04-30 01:00:00,+07:00,1777510800,2026-04-29 20:49:35
